Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),definition
the,1,87.85,60910,used to refer to something already mentioned
be,2,86.86,48575,To exist; to be alive; used to give information about someone or something
and,3,84.88,30789,used to refer to two or more things
of,4,84.79,30126,belonging to or connected with something
to,5,84.66,29272,move towards; in the direction of
a,6,84.45,27872,one (of something)
in,7,83.25,21142,being inside something
have,8,81.53,14210,"to own, possess, or hold something"
it,9,81.39,13772,a thing that has been previously mentioned
you,10,81.08,12810,person someone is speaking or writing to
he,11,80.42,11017,object form of a male person you are talking about
for,12,80.01,10025,"used to show the purpose, or need of something"
they,13,79.9,9764,"used to refer to two or more people, animals, or things"
not,14,79.77,9494,"word indicating the negative of verbs, adjectives, etc."
that,15,79.37,8653,used to show which person or thing we are talking about
we,16,79.24,8401,used to refer to the speaker and other people together
on,17,78.9,7763,"located on the surface of something (e.g., a table or wall)"
with,18,78.68,7381,used to express that people or things are together
this,19,78.45,7003,"person, thing, or idea near you"
I,20,78.34,6820,the person who is speaking or writing
do,21,78.33,6802,to act; to perform actions
as,22,78.29,6747,a word used to compare two equal things
at,23,77.46,5570,in the place where something is
she,24,77.16,5195,female person or animal mentioned before
but,25,77.06,5087,"used before you say something different, opposite"
from,26,76.63,4598,"starting at a particular place, time, or level"
by,27,76.36,4323,near; with
will,28,76.23,4195,used with verbs to express the future
or,29,76.09,4060,"used to link alternatives, to introduce another choice"
say,30,75.35,3425,to use words to tell a message
go,31,75.13,3260,to move or travel to another place
so,32,75.09,3227,for that reason
all,33,75.02,3175,completely; totally
if,34,74.78,3009,introducing a condition for something to happen
one,35,74.77,2997,number 1
would,36,74.77,2997,"modal verb used to indicate possibility, request, etc."
about,37,74.72,2967,of (a subject); concerning
can,38,74.61,2890,to be able to; have the skill to; have the time to
which,39,74.6,2886,question word to ask about a person's choice
there,40,74.5,2820,"in that place or position, at that location"
know,41,74.21,2634,to have knowledge of things in your mind
more,42,74.2,2631,"greater in amount, number, or size"
get,43,74.1,2573,"to obtain, receive, or be given something"
who,44,74.04,2534,"what or which person or people, to ask about, talking about"
like,45,73.92,2465,to find something pleasing; to prefer something
when,46,73.86,2435,word you use to ask about the time or day
think,47,73.86,2433,"to have an idea, opinion, or belief about something"
make,48,73.73,2359,to create something by putting things together
time,49,73.62,2302,"something measured in minutes, hours, days, etc."
see,50,73.48,2226,to use your eyes to look at something
what,51,73.43,2204,asking for information about someone or something
up,52,73.32,2150,move higher; raise
some,53,73.28,2130,used to refer to a person or thing that is not known
other,54,73.22,2100,something else; not the first one
out,55,73.15,2064,away from the inside or center
good,56,73.09,2038,excellent; high quality
people,57,73.05,2019,human beings in general; plural of person
year,58,72.9,1949,unit of time equal to 12 months
take,59,72.73,1873,to pick up something and go away with it
no,60,72.68,1854,being none; not having or being
